Tumor_Sample_Barcode	low	true	high
TCGA-2W-A8YY-01A-11D-A37N-09	0.9319385766492876	0.9766909459561117	1.0142984500982857
TCGA-4J-AA1J-01A-21D-A387-09	0.6717647272265462	0.8319531345847135	1.1987568859217101
TCGA-BI-A0VR-01A-11D-A10S-08	0.4904976092065807	0.6550260125030123	0.9369112189551813
TCGA-BI-A0VS-01A-11D-A10S-08	0.6104033207894056	0.9204778156996587	1.306978818283166
TCGA-BI-A20A-01A-11D-A14W-08	0.6766930355203968	1.0269419760888352	1.7074348245896362
TCGA-C5-A0TN-01A-21D-A14W-08	1.2845528455284554	3.6975857687420586	0.0
TCGA-C5-A1BE-01B-11D-A13W-08	0.6903781882145997	1.322053215271994	2.207352333746386
TCGA-C5-A1BF-01B-11D-A13W-08	0.5264497041420119	0.9291545957334738	1.4738262521484786
TCGA-C5-A1BI-01B-11D-A13W-08	0.5876637534141769	0.836748891848377	1.2590957527782005
TCGA-C5-A1BJ-01A-11D-A13W-08	0.7400697823891287	1.0194754068492526	1.5158673469387756
TCGA-C5-A1BK-01B-11D-A13W-08	0.8499825708954459	1.3173167540718238	2.20890762982489
TCGA-C5-A1BL-01A-11D-A13W-08	0.6082699532198462	0.7898899052231803	0.9916164284351338
TCGA-C5-A1BM-01A-11D-A13W-08	0.3383482142857143	0.7529043520134835	1.3609881570664148
TCGA-C5-A1BN-01B-11D-A14W-08	0.7002334111370456	1.1890270438296549	2.0100864553314124
TCGA-C5-A1M5-01A-11D-A13W-08	0.5298165137614679	0.7501893198208959	1.2901972651138445
TCGA-C5-A1M6-01A-11D-A13W-08	0.5999910912258473	0.9138576779026218	1.342150170648464
TCGA-C5-A1M7-01A-11D-A13W-08	0.4943293885601578	0.7567667317898993	1.186997679088325
TCGA-C5-A1M8-01A-21D-A13W-08	0.7525456919060053	1.248931399906447	2.150537634408602
TCGA-C5-A1M9-01A-11D-A13W-08	0.6795918367346938	1.2597356198642373	2.669830949284785
TCGA-C5-A1ME-01A-11D-A13W-08	0.8655003762227238	1.3784461152882206	2.4307471681672963
TCGA-C5-A1MF-01A-11D-A13W-08	0.49313208752595433	0.7622841918794285	1.2396947385392596
TCGA-C5-A1MH-01A-11D-A14W-08	0.8412266813519653	1.145977544591957	1.4121178689076155
TCGA-C5-A1MI-01A-11D-A14W-08	0.38949924208888353	0.6482717954943549	0.9781460571844838
TCGA-C5-A1MJ-01A-11D-A14W-08	0.5055982545743045	0.7525962283647636	1.419690860215054
TCGA-C5-A1MK-01A-11D-A14W-08	0.7771618625277161	1.0151155334964022	1.2663048263543855
TCGA-C5-A1ML-01A-11D-A14W-08	0.37992570300009404	0.7170317553660688	1.5774202057504616
TCGA-C5-A1MN-01A-11D-A14W-08	0.6850706787002413	1.0922478703765741	1.5695301161103048
TCGA-C5-A1MP-01A-11D-A14W-08	0.4784365835777127	0.7975886853698123	1.468816309548575
TCGA-C5-A1MQ-01A-11D-A14W-08	0.5692890653193793	0.9822452229299362	2.2036712894394324
TCGA-C5-A2LS-01A-22D-A22X-09	0.4103305490112087	0.7007143733137111	1.0209723546234508
TCGA-C5-A2LT-01A-11D-A18J-09	0.3380529490616622	0.876828743545611	2.239570164348925
TCGA-C5-A2LV-01A-11D-A18J-09	0.7019817997977755	1.1789792387543254	2.0163306115647393
TCGA-C5-A2LX-01A-11D-A18J-09	0.7046580636731549	0.9540114146765889	1.3085588679763702
TCGA-C5-A2LY-01A-31D-A18J-09	0.5173332698850793	0.8937752161383287	1.527748208076077
TCGA-C5-A2M1-01A-11D-A18J-09	0.635459938254643	0.9606575556932712	1.4269639508230882
TCGA-C5-A2M2-01A-21D-A18J-09	1.047039081953015	1.5544278785701453	2.4535223009587326
TCGA-C5-A3HF-01A-11D-A20U-09	0.6956580640791167	1.175959564049913	2.2341299477221805
TCGA-C5-A7CG-01A-11D-A32I-09	0.42482443733095115	1.018097643097643	2.5109664153529816
TCGA-C5-A7CH-01A-11D-A33O-09	0.5028388928317955	0.9572139303482586	1.6355639875819246
TCGA-C5-A7CJ-01A-11D-A32I-09	0.284156616553775	0.442887225382314	0.685731509739648
TCGA-C5-A7CK-01A-11D-A32I-09	0.6679382007109653	1.323589941121444	2.6836342204851418
TCGA-C5-A7CL-01A-11D-A32I-09	0.567965367965368	1.6074829701426778	2.827414509888736
TCGA-C5-A7CM-01A-11D-A33O-09	0.4154488517745302	0.8875530410183876	2.660914030041547
TCGA-C5-A7CO-01A-11D-A351-09	1.0264225313380846	1.5087049195631204	2.213526625851912
TCGA-C5-A7UC-01A-11D-A351-09	0.4984806114839672	0.7938068114992356	2.4711135747721116
TCGA-C5-A7UE-01A-11D-A33O-09	0.7180570963166837	0.9632494023250324	1.2727088528678305
TCGA-C5-A7UH-01A-11D-A351-09	0.8551861536545885	1.085995815040455	1.5955637408866807
TCGA-C5-A7UI-01A-11D-A36J-09	0.5468394326737874	0.8326871367854976	1.1344663944377
TCGA-C5-A7X3-01A-11D-A351-09	0.6965561497326204	1.246121070825629	2.1366382978723406
TCGA-C5-A7X5-01A-11D-A36J-09	0.6627930174563591	0.7942924390606613	1.0198541218558899
TCGA-C5-A7X8-01A-11D-A36J-09	0.42663415766864043	0.6423460144927536	0.9740984641753682
TCGA-C5-A7XC-01A-11D-A387-09	0.5635948530726904	0.8734205399387698	1.2469267285861714
TCGA-C5-A8XH-01A-11D-A37N-09	0.5655268022181147	0.738429853090435	0.9991732902247977
TCGA-C5-A8XI-01A-11D-A37N-09	0.5498364176718863	1.0627195881309353	2.3528933680104034
